ENTITY_CD,ENTITY_NAME,YEAR,NUM_SUSPENSIONS,PER_SUSPENSIONS
011200010002,WATERVLIET ELEMENTARY SCHOOL,2015,7,1
011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,2015,41,7
020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,2015,6,1
020101040002,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,2015,6,2
020601040000,ANDOVER CENTRAL SCHOOL DISTRICT,2015,13,4
020601040001,ANDOVER SCHOOL,2015,13,4
020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,2015,60,11
020702040001,GENESEE VALLEY CENTRAL SCHOOL,2015,60,11
020801040000,BELFAST CENTRAL SCHOOL DISTRICT,2015,6,2
020801040001,BELFAST SCHOOL,2015,6,2
021102040000,CANASERAGA CENTRAL SCHOOL DISTRICT,2015,9,4
021102040001,CANASERAGA SCHOOL,2015,9,4
021601040000,FRIENDSHIP CENTRAL SCHOOL DISTRICT,2015,13,4
021601040004,FRIENDSHIP CENTRAL SCHOOL,2015,13,4
022001040000,FILLMORE CENTRAL SCHOOL DISTRICT,2015,6,1
022001040001,FILLMORE CENTRAL SCHOOL,2015,6,1
022302040000,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,2015,11,1
022302040001,CUBA-RUSHFORD HIGH SCHOOL,2015,6,2
022302040004,CUBA-RUSHFORD MIDDLE SCHOOL,2015,5,2
022401040000,SCIO CENTRAL SCHOOL DISTRICT,2015,16,5
022401040003,SCIO CENTRAL SCHOOL,2015,16,5
022601060000,WELLSVILLE CENTRAL SCHOOL DISTRICT,2015,77,6
022601060002,WELLSVILLE MIDDLE SCHOOL,2015,18,7
022601060004,WELLSVILLE SENIOR HIGH SCHOOL,2015,55,14
022601060005,WELLSVILLE ELEMENTARY SCHOOL,2015,4,1
022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,2015,20,3
022902040001,BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,2015,16,4
022902040002,BOLIVAR-RICHBURG ELEMENTARY SCHOOL,2015,4,1
030101060000,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,2015,29,2
030101060001,CHENANGO FORKS ELEMENTARY SCHOOL,2015,8,1
030101060003,CHENANGO FORKS HIGH SCHOOL,2015,19,4
030101060004,CHENANGO FORKS MIDDLE SCHOOL,2015,2,1
030200010000,BINGHAMTON CITY SCHOOL DISTRICT,2015,533,10
030200010002,CALVIN COOLIDGE SCHOOL,2015,23,7
030200010005,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2015,30,6
030200010008,THOMAS JEFFERSON SCHOOL,2015,7,2
030200010011,MACARTHUR SCHOOL,2015,31,7
030200010012,THEODORE ROOSEVELT SCHOOL,2015,28,6
030200010014,WOODROW WILSON SCHOOL,2015,24,5
030200010015,EAST MIDDLE SCHOOL,2015,139,24
030200010016,WEST MIDDLE SCHOOL,2015,103,15
030200010021,BINGHAMTON HIGH SCHOOL,2015,122,8
030200010022,HORACE MANN SCHOOL,2015,26,8
030501040000,HARPURSVILLE CENTRAL SCHOOL DISTRICT,2015,107,14
030501040001,W A OLMSTED ELEMENTARY SCHOOL,2015,89,22
030501040003,HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,2015,18,5
030601060000,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,2015,35,2
030601060001,BROOKSIDE ELEMENTARY SCHOOL,2015,5,1
030601060004,F P DONNELLY SCHOOL,2015,5,2
030601060005,RICHARD T STANK MIDDLE SCHOOL,2015,5,1
030601060006,SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL,2015,20,4
030701060000,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,2015,28,2
030701060001,CHENANGO VALLEY HIGH SCHOOL,2015,13,3
030701060003,CHENANGO BRIDGE ELEMENTARY SCHOOL,2015,7,2
030701060004,PORT DICKINSON ELEMENTARY SCHOOL,2015,1,0
030701060005,CHENANGO VALLEY MIDDLE SCHOOL,2015,7,3
031101060000,MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,2015,65,3
031101060003,HOMER BRINK SCHOOL,2015,1,0
031101060004,MAINE MEMORIAL SCHOOL,2015,7,2
031101060005,MAINE-ENDWELL MIDDLE SCHOOL,2015,29,5
031101060006,MAINE-ENDWELL SENIOR HIGH SCHOOL,2015,28,4
031301040000,DEPOSIT CENTRAL SCHOOL DISTRICT,2015,14,3
031301040002,DEPOSIT ELEMENTARY SCHOOL,2015,5,2
031301040003,DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,2015,9,4
031401060000,WHITNEY POINT CENTRAL SCHOOL DISTRICT,2015,40,3
031401060002,TIOUGHNIOGA RIVERSIDE ACADEMY,2015,5,1
031401060004,WHITNEY POINT SENIOR HIGH SCHOOL,2015,32,7
031401060005,CARYL E ADAMS PRIMARY SCHOOL,2015,3,1
031501060000,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,2015,80,2
031501060001,CHARLES F JOHNSON JR ELEMENTARY SCHOOL,2015,5,1
031501060002,GEORGE F JOHNSON ELEMENTARY SCHOOL,2015,9,2
031501060009,JENNIE F SNAPP MIDDLE SCHOOL,2015,31,3
031501060012,UNION-ENDICOTT HIGH SCHOOL,2015,17,1
031501060013,THOMAS J WATSON SR ELEMENTARY SCHOOL,2015,9,3
031501060014,ANN G MCGUINNESS ELEMENTAR SCHOOL,2015,9,2
031502060000,JOHNSON CITY CENTRAL SCHOOL DISTRICT,2015,231,9
031502060001,JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL,2015,87,16
031502060003,JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL,2015,37,7
031502060005,JOHNSON CITY MIDDLE SCHOOL,2015,37,6
031502060006,JOHNSON CITY SENIOR HIGH SCHOOL,2015,70,9
031601060000,VESTAL CENTRAL SCHOOL DISTRICT,2015,62,2
031601060021,AFRICAN ROAD ELEMENTARY SCHOOL,2015,3,1
031601060022,CLAYTON AVENUE ELEMENTARY SCHOOL,2015,8,3
031601060023,GLENWOOD ELEMENTARY SCHOOL,2015,3,1
031601060026,TIOGA HILLS ELEMENTARY SCHOOL,2015,7,2
031601060028,VESTAL HILLS ELEMENTARY SCHOOL,2015,1,0
031601060041,VESTAL MIDDLE SCHOOL,2015,18,2
031601060051,VESTAL SENIOR HIGH SCHOOL,2015,22,2
031701060000,WINDSOR CENTRAL SCHOOL DISTRICT,2015,139,8
031701060002,FLOYD BELL ELEMENTARY SCHOOL,2015,3,1
031701060003,C R WEEKS ELEMENTARY SCHOOL,2015,4,2
031701060004,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,2015,22,4
031701060007,WINDSOR CENTRAL HIGH SCHOOL,2015,110,20
040204040000,WEST VALLEY CENTRAL SCHOOL DISTRICT,2015,6,2
040204040001,WEST VALLEY CENTRAL SCHOOL,2015,6,2
040302060000,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,2015,54,5
040302060001,ALLEGANY-LIMESTONE HIGH SCHOOL,2015,41,11
040302060002,ALLEGANY-LIMESTONE ELEMENTARY SCHOOL,2015,2,0
040302060004,ALLEGANY-LIMESTONE MIDDLE SCHOOL,2015,11,4
040901040000,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,2015,16,3
040901040001,ELLICOTTVILLE ELEMENTARY SCHOOL,2015,1,0
040901040002,ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL,2015,15,5
041101040000,FRANKLINVILLE CENTRAL SCHOOL DISTRICT,2015,20,3
041101040002,FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,2015,19,6
041101040003,FRANKLINVILLE ELEMENTARY SCHOOL,2015,1,0
041401040000,HINSDALE CENTRAL SCHOOL DISTRICT,2015,16,4
041401040001,HINSDALE CENTRAL SCHOOL,2015,16,4
042302040000,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,2015,46,5
042302040002,CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL,2015,9,3
042302040003,CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL,2015,35,10
042302040004,CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL,2015,2,1
042400010000,OLEAN CITY SCHOOL DISTRICT,2015,100,5
042400010002,WASHINGTON WEST ELEMENTARY SCHOOL,2015,3,1
042400010004,EAST VIEW ELEMENTARY SCHOOL,2015,4,1
042400010013,OLEAN SENIOR HIGH SCHOOL,2015,53,7
042400010016,OLEAN INTERMEDIATE-MIDDLE SCHOOL,2015,40,6
042801060000,GOWANDA CENTRAL SCHOOL DISTRICT,2015,17,1
042801060005,GOWANDA MIDDLE SCHOOL,2015,3,1
042801060006,GOWANDA HIGH SCHOOL,2015,14,4
042901040000,PORTVILLE CENTRAL SCHOOL DISTRICT,2015,87,9
042901040001,PORTVILLE ELEMENTARY SCHOOL,2015,2,0
042901040002,PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,2015,85,20
043001040000,RANDOLPH CENTRAL SCHOOL DISTRICT,2015,19,2
043001040002,RANDOLPH SENIOR HIGH SCHOOL,2015,18,4
043001040003,G N CHAPMAN ELEMENTARY SCHOOL,2015,1,0
043011020000,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,2015,7,4
043011020001,RANDOLPH ACADEMY,2015,2,2
043011020002,RANDOLPH ACADEMYHAMBURG CAMPUS,2015,5,7
043200050000,SALAMANCA CITY SCHOOL DISTRICT,2015,118,9
043200050002,SALAMANCA JUNIOR/SENIOR HIGH SCHOOL,2015,97,19
043200050004,PROSPECT ELEMENTARY SCHOOL,2015,8,2
043200050005,SENECA ELEMENTARY SCHOOL,2015,13,5
043501060000,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,2015,68,3
043501060001,DELEVAN ELEMENTARY SCHOOL,2015,3,1
043501060004,PIONEER MIDDLE SCHOOL,2015,13,2
043501060005,ARCADE ELEMENTARY SCHOOL,2015,5,1
043501060006,PIONEER SENIOR HIGH SCHOOL,2015,47,6
050100010000,AUBURN CITY SCHOOL DISTRICT,2015,315,8
050100010002,CASEY PARK ELEMENTARY SCHOOL,2015,16,3
050100010004,GENESEE STREET ELEMENTARY SCHOOL,2015,31,8
050100010005,HERMAN AVENUE ELEMENTARY SCHOOL,2015,18,4
050100010007,OWASCO ELEMENTARY SCHOOL,2015,7,2
050100010008,WILLIAM H SEWARD ELEMENTARY SCHOOL,2015,25,5
050100010009,AUBURN JUNIOR HIGH SCHOOL,2015,77,12
050100010013,AUBURN HIGH SCHOOL,2015,141,11
050301040000,WEEDSPORT CENTRAL SCHOOL DISTRICT,2015,7,1
050301040002,WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL,2015,7,2
050401040000,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,2015,22,2
050401040001,CATO-MERIDIAN ELEMENTARY SCHOOL,2015,7,2
050401040002,CATO-MERIDIAN MIDDLE SCHOOL,2015,8,3
050401040003,CATO-MERIDIAN SENIOR HIGH SCHOOL,2015,7,2
050701040000,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,2015,14,2
050701040005,SOUTHERN CAYUGA  7-12 SECONDARY SCHOOL,2015,8,3
050701040007,SOUTHERN CAYUGA ELEMENTARY SCHOOL,2015,6,2
051101040000,PORT BYRON CENTRAL SCHOOL DISTRICT,2015,39,4
051101040001,A A GATES ELEMENTARY SCHOOL,2015,8,2
051101040004,PORT BYRON SENIOR HIGH SCHOOL,2015,31,6
051301040000,MORAVIA CENTRAL SCHOOL DISTRICT,2015,38,4
051301040001,MILLARD FILLMORE ELEMENTARY SCHOOL,2015,18,4
051301040003,MORAVIA JUNIOR-SENIOR HIGH SCHOOL,2015,20,4
051901040000,UNION SPRINGS CENTRAL SCHOOL DISTRICT,2015,24,3
051901040002,ANDREW J SMITH ELEMENTARY SCHOOL,2015,4,2
051901040005,UNION SPRINGS MIDDLE SCHOOL HIGH SCHOOL,2015,12,3
060201060000,SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN,2015,14,1
060201060003,SOUTHWESTERN SENIOR HIGH SCHOOL,2015,10,2
060201060006,SOUTHWESTERN MIDDLE SCHOOL,2015,4,1
060301040000,FREWSBURG CENTRAL SCHOOL DISTRICT,2015,31,4
060301040002,ROBERT H JACKSON ELEMENTARY SCHOOL,2015,13,3
060301040004,FREWSBURG JUNIOR-SENIOR HIGH SCHOOL,2015,18,5
060401040000,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,2015,19,2
060401040006,CASSADAGA VALLEY MIDDLE/HIGH SCHOOL,2015,19,3
060503040000,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,2015,26,3
060503040001,CHAUTAUQUA LAKE SECONDARY SCHOOL,2015,22,5
060503040002,CHAUTAUQUA LAKE ELEMENTARY SCHOOL,2015,4,1
060601040000,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),2015,19,3
060601040002,PINE VALLEY ELEMENTARY SCHOOL,2015,5,2
060601040003,PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL,2015,14,5
060701040000,CLYMER CENTRAL SCHOOL DISTRICT,2015,7,2
060701040003,CLYMER CENTRAL SCHOOL,2015,7,2
060800010000,DUNKIRK CITY SCHOOL DISTRICT,2015,123,6
060800010003,SCHOOL 3,2015,11,5
060800010004,SCHOOL 4,2015,2,1
060800010005,SCHOOL 5,2015,5,3
060800010007,SCHOOL 7,2015,2,1
060800010009,DUNKIRK SENIOR HIGH SCHOOL,2015,63,11
060800010010,DUNKIRK MIDDLE SCHOOL,2015,40,9
061001040000,BEMUS POINT CENTRAL SCHOOL DISTRICT,2015,23,3
061001040001,BEMUS POINT ELEMENTARY SCHOOL,2015,1,0
061001040005,MAPLE GROVE JUNIOR/SENIOR HIGH SCHOOL,2015,22,5
061101040000,FALCONER CENTRAL SCHOOL DISTRICT,2015,32,3
061101040001,HARVEY C FENNER ELEMENTARY SCHOOL,2015,16,6
061101040007,FALCONER MIDDLE/HIGH SCHOOL,2015,12,2
061101040009,PAUL B D TEMPLE ELEMENTARY SCHOOL,2015,4,2
061501040000,SILVER CREEK CENTRAL SCHOOL DISTRICT,2015,62,6
061501040001,SILVER CREEK HIGH SCHOOL,2015,18,6
061501040002,SILVER CREEK MIDDLE SCHOOL,2015,16,7
061501040003,SILVER CREEK ELEMENTARY SCHOOL,2015,28,6
061503040000,FORESTVILLE CENTRAL SCHOOL DISTRICT,2015,12,3
061503040002,FORESTVILLE ELEMENTARY SCHOOL,2015,4,2
061503040003,FORESTVILLE CENTRAL HIGH SCHOOL,2015,8,3
061601040000,PANAMA CENTRAL SCHOOL DISTRICT,2015,8,2
061601040001,PANAMA HIGH SCHOOL,2015,4,1
061601040003,PANAMA K-6 SCHOOL,2015,4,2
061700010000,JAMESTOWN CITY SCHOOL DISTRICT,2015,332,7
061700010001,CARLYLE C RING ELEMENTARY SCHOOL,2015,30,7
061700010003,CLINTON V BUSH ELEMENTARY SCHOOL,2015,9,3
061700010006,PERSELL MIDDLE SCHOOL,2015,29,6
061700010007,MILTON J FLETCHER ELEMENTARY SCHOOL,2015,22,4
061700010009,SAMUEL G LOVE ELEMENTARY SCHOOL,2015,15,5
061700010010,THOMAS JEFFERSON MIDDLE SCHOOL,2015,43,9
061700010011,ABRAHAM LINCOLN ELEMENTARY SCHOOL,2015,6,1
061700010012,GEORGE WASHINGTON MIDDLE SCHOOL,2015,39,8
061700010013,JAMESTOWN HIGH SCHOOL,2015,139,10
062201060000,FREDONIA CENTRAL SCHOOL DISTRICT,2015,18,1
062201060001,FREDONIA ELEMENTARY SCHOOL,2015,7,1
062201060002,FREDONIA MIDDLE SCHOOL,2015,5,1
062201060003,FREDONIA HIGH SCHOOL,2015,6,1
062301040000,BROCTON CENTRAL SCHOOL DISTRICT,2015,3,1
062301040003,BROCTON MIDDLE HIGH SCHOOL,2015,3,1
062601040000,SHERMAN CENTRAL SCHOOL DISTRICT,2015,3,1
062601040003,SHERMAN HIGH SCHOOL,2015,3,2
062901040000,WESTFIELD CENTRAL SCHOOL DISTRICT,2015,16,2
062901040001,WESTFIELD ELEMENTARY SCHOOL,2015,1,0
062901040002,WESTFIELD HIGH SCHOOL,2015,9,4
062901040004,WESTFIELD MIDDLE SCHOOL,2015,6,4
070600010000,ELMIRA CITY SCHOOL DISTRICT,2015,482,8
070600010006,DIVEN SCHOOL,2015,5,1
070600010007,FASSETT ELEMENTARY SCHOOL,2015,11,3
070600010010,HENDY AVENUE SCHOOL,2015,22,4
070600010013,PARLEY COBURN SCHOOL,2015,24,5
070600010014,PINE CITY SCHOOL,2015,2,1
070600010015,RIVERSIDE SCHOOL,2015,3,1
070600010016,THOMAS K BEECHER SCHOOL,2015,17,4
070600010019,BROADWAY ACADEMY,2015,23,5
070600010020,ELMIRA HIGH SCHOOL,2015,130,10
070600010021,ERNIE DAVIS ACADEMY,2015,222,24
070600010022,BROADWAY ELEMENTARY SCHOOL,2015,23,5
070901060000,HORSEHEADS CENTRAL SCHOOL DISTRICT,2015,133,3
070901060003,CENTER STREET SCHOOL,2015,13,4
070901060005,BIG FLATS SCHOOL,2015,4,1
070901060007,HORSEHEADS SENIOR HIGH SCHOOL,2015,82,6
070901060009,GARDNER ROAD ELEMENTARY SCHOOL,2015,3,1
070901060010,HORSEHEADS MIDDLE SCHOOL,2015,30,4
070901060011,HORSEHEADS INTERMEDIATE SCHOOL,2015,1,0
070902060000,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,2015,42,4
070902060002,THOMAS A EDISON HIGH SCHOOL,2015,20,6
070902060004,COHEN MIDDLE SCHOOL,2015,12,5
070902060006,COHEN ELEMENTARY SCHOOL,2015,10,2
080101040000,AFTON CENTRAL SCHOOL DISTRICT,2015,54,10
080101040002,AFTON ELEMENTARY SCHOOL,2015,25,9
080101040003,AFTON JUNIOR/SENIOR HIGH SCHOOL,2015,29,12
080201040000,BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT,2015,24,3
080201040001,BAINBRIDGE-GUILFORD HIGH SCHOOL,2015,22,5
080201040002,GREENLAWN ELEMENTARY SCHOOL,2015,2,1
080601040000,GREENE CENTRAL SCHOOL DISTRICT,2015,31,3
080601040002,GREENE INTERMEDIATE SCHOOL,2015,7,3
080601040003,GREENE HIGH SCHOOL,2015,18,6
080601040004,GREENE MIDDLE SCHOOL,2015,6,3
081003040000,UNADILLA VALLEY CENTRAL SCHOOL DISTRICT,2015,32,4
081003040003,UNADILLA VALLEY SECONDARY SCHOOL,2015,30,7
081003040006,UNADILLA VALLEY ELEMENTARY SCHOOL,2015,2,1
081200050000,NORWICH CITY SCHOOL DISTRICT,2015,88,5
081200050001,PERRY BROWNE INTERMEDIATE SCHOOL,2015,20,5
081200050002,STANFORD J GIBSON PRIMARY SCHOOL,2015,3,1
081200050003,NORWICH MIDDLE SCHOOL,2015,30,7
081200050004,NORWICH HIGH SCHOOL,2015,35,6
081401040000,GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT,2015,7,2
081401040001,OTSELIC VALLEY CENTRAL SCHOOL,2015,7,2
081501040000,OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT,2015,17,2
081501040001,OXFORD ACADEMY MIDDLE SCHOOL,2015,6,3
081501040002,OXFORD ACADEMY HIGH SCHOOL,2015,10,4
081501040003,OXFORD ACADEMY PRIMARY SCHOOL,2015,1,0
082001040000,SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT,2015,90,7
082001040002,SHERBURNE-EARLVILLE ELEMENTARY SCHOOL,2015,4,1
082001040003,SHERBURNE-EARLVILLE MIDDLE SCHOOL,2015,29,10
082001040004,SHERBURNE-EARLVILLE SENIOR HIGH SCHOOL,2015,57,13
090201040000,AUSABLE VALLEY CENTRAL SCHOOL DISTRICT,2015,41,4
090201040001,KEESVILLE PRIMARY SCHOOL,2015,6,2
090201040002,AUSABLE VALLEY HIGH SCHOOL,2015,23,6
090201040004,AUSABLE FORKS ELEMENTARY SCHOOL,2015,2,1
090201040005,AUSABLE VALLEY MIDDLE SCHOOL,2015,10,6
090301060000,BEEKMANTOWN CENTRAL SCHOOL DISTRICT,2015,106,6
090301060001,BEEKMANTOWN ELEMENTARY SCHOOL,2015,8,2
090301060003,CUMBERLAND HEAD ELEMENTARY SCHOOL,2015,1,0
090301060005,BEEKMANTOWN MIDDLE SCHOOL,2015,33,8
090301060006,BEEKMANTOWN HIGH SCHOOL,2015,64,11
090501040000,NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT,2015,34,3
090501040002,NORTHEASTERN CLINTON SENIOR HIGH SCHOOL,2015,15,4
090501040003,ROUSES POINT ELEMENTARY SCHOOL,2015,3,1
090501040007,NORTHEASTERN CLINTON MIDDLE SCHOOL,2015,16,5
090601020000,CHAZY UNION FREE SCHOOL DISTRICT,2015,9,2
090601020002,CHAZY CENTRAL RURAL JUNIOR-SENIOR HIGH SCHOOL,2015,9,4
090901040000,NORTHERN ADIRONDACK CENTRAL SCHOOL DISTRICT,2015,8,1
090901040001,NORTHERN ADIRONDACK ELEMENTARY SCHOOL,2015,1,0
090901040002,NORTHERN ADIRONDACK MIDDLE/HIGH SCHOOL,2015,7,2
091101060000,PERU CENTRAL SCHOOL DISTRICT,2015,67,4
091101060004,PERU ELEMENTARY SCHOOL,2015,4,0
091101060005,PERU JR/SR HIGH SCHOOL,2015,63,7
091200010000,PLATTSBURGH CITY SCHOOL DISTRICT,2015,86,5
091200010004,OAK STREET SCHOOL,2015,2,1
091200010005,STAFFORD MIDDLE SCHOOL,2015,26,7
091200010006,PLATTSBURGH SENIOR HIGH SCHOOL,2015,58,10
091402060000,SARANAC CENTRAL SCHOOL DISTRICT,2015,43,3
091402060005,SARANAC HIGH SCHOOL,2015,27,6
091402060007,SARANAC MIDDLE SCHOOL,2015,16,5
100308020000,BERKSHIRE UNION FREE SCHOOL DISTRICT,2015,61,41
100308020001,BERKSHIRE JUNIOR-SENIOR HIGH SCHOOL,2015,44,32
100308020002,COLUMBIA-GREENE PARTNERSHIP ACADEMY-THE BRIDGE,2015,17,100
100501040000,TACONIC HILLS CENTRAL SCHOOL DISTRICT,2015,114,8
100501040003,TACONIC HILLSJUNIOR/SENIOR HIGH SCHOOL,2015,100,15
100501040006,TACONIC HILLS ELEMENTARY SCHOOL,2015,14,2
100902040000,GERMANTOWN CENTRAL SCHOOL DISTRICT,2015,25,5
100902040003,GERMANTOWN ELEMENTARY SCHOOL,2015,7,2
